Category: All categories

Country,banana: (1/6/18 - 30/6/18)
Cook Islands,
Northern Mariana Islands,
Anguilla,
Antigua & Barbuda,
Caribbean Netherlands,
São Tomé & Príncipe,
Tanzania,100
British Virgin Islands,
Micronesia,
U.S. Virgin Islands,
Vanuatu,
Belize,
Jersey,
Guam,
Samoa,
Dominica,
French Polynesia,
Angola,
Aruba,
St. Lucia,
New Zealand,60
Brazil,58
Barbados,
Grenada,
Qatar,54
Jamaica,
Cayman Islands,
Canada,52
Australia,52
Bermuda,
St. Vincent & Grenadines,
United States,48
Turks & Caicos Islands,
Guernsey,
Trinidad & Tobago,
Bahamas,
Gibraltar,
Cape Verde,
Seychelles,
Isle of Man,
Zimbabwe,
Mauritius,
Åland Islands,
Papua New Guinea,
San Marino,
Philippines,38
Botswana,
United Kingdom,37
Singapore,37
Gambia,
Ghana,35
Fiji,
Eswatini,
Brunei,
Bhutan,
Maldives,
Zambia,
Solomon Islands,
Guyana,
Equatorial Guinea,
Portugal,31
Uganda,
Malta,
St. Kitts & Nevis,
Ireland,30
Liechtenstein,
Malawi,
Mozambique,
Liberia,
India,27
Paraguay,
United Arab Emirates,27
South Africa,27
Iceland,
Nigeria,24
Namibia,
Malaysia,22
Kenya,21
Bahrain,
Myanmar (Burma),
Rwanda,
Uruguay,21
Sri Lanka,21
Argentina,20
Mongolia,
North Macedonia,
Bosnia & Herzegovina,
Ethiopia,
Nepal,
Puerto Rico,
Croatia,17
Somalia,
Kosovo,
Sierra Leone,
Sint Maarten,
Hong Kong,17
Faroe Islands,
Suriname,
Serbia,15
Lesotho,
Montenegro,
Lebanon,
Thailand,15
Andorra,
Curaçao,
St. Helena,
Italy,15
Cameroon,
Pakistan,14
Luxembourg,
Panama,
Honduras,
Slovenia,
Cambodia,
Cyprus,
Kuwait,
New Caledonia,
Switzerland,12
Djibouti,
French Guiana,
Oman,
Monaco,
Romania,11
Laos,
Timor-Leste,
Greece,11
Bolivia,
Norway,11
Costa Rica,
Sweden,10
China,
Macao,
Nicaragua,
Indonesia,10
Guatemala,
Denmark,10
Ecuador,10
Belgium,10
Guadeloupe,
Afghanistan,
Estonia,
Dominican Republic,
Bangladesh,
South Sudan,
Burundi,
Vietnam,8
Spain,8
Latvia,
France,8
Finland,8
Benin,
Netherlands,7
Niger,
Israel,7
El Salvador,
Lithuania,
Congo - Brazzaville,
Mexico,7
Czechia,
Albania,
Madagascar,
Chile,7
Burkina Faso,
Moldova,
Mali,
Saudi Arabia,5
Poland,5
Jordan,
Haiti,
Guinea,
Turkmenistan,
Slovakia,
Martinique,
Libya,
Austria,5
Armenia,
Germany,5
South Korea,5
Peru,4
Colombia,4
Réunion,
Taiwan,4
Mauritania,
Hungary,
Venezuela,
Congo - Kinshasa,
Morocco,
Azerbaijan,
Bulgaria,
Senegal,
Gabon,
Belarus,
Kyrgyzstan,
Cuba,
Tunisia,
Georgia,
Palestine,
Uzbekistan,
Côte d’Ivoire,
Kazakhstan,
Egypt,
Tajikistan,
Syria,
Iraq,
Algeria,
Turkey,2
Ukraine,2
Russia,1
Japan,1
Iran,
Sudan,
Montserrat,
Guinea-Bissau,
Mayotte,
Western Sahara,
American Samoa,
Antarctica,
French Southern Territories,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Comoros,
Christmas Island,
Eritrea,
Falkland Islands (Islas Malvinas),
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Martin,
Marshall Islands,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
St. Pierre & Miquelon,
Chad,
Togo,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
Wallis & Futuna,
Yemen,
